,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_rev_ls,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
1asset_sig_rev_id,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
1asset_sig_pfrevers_sample,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_nls,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_ls,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_id,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_prs_sample,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
1asset_sig_prs_nls,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
1asset_sig_prs_ls,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
1asset_sig_prs_id,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
5assets_sig_mtm_sample,-0.67,13.2,-0.05,0.06,-1.23,387.0,,746.0,-0.01,0.04,0.99,-0.07,1.01,1.0,33.14
5assets_sig_mtm_nls,-0.63,13.03,-0.05,0.06,-1.23,387.0,,746.0,-0.01,0.05,0.99,-0.07,0.96,0.95,30.62
5assets_sig_mtm_ls,17.16,23.98,0.72,0.11,-1.24,136.0,,746.0,0.14,0.72,1.15,1.12,1.05,1.21,10.84
5assets_sig_mtm_id,26.7,27.15,0.98,0.13,-1.11,136.0,,746.0,0.24,0.87,1.2,1.52,1.15,1.38,4.56
5assets_sig_mcd_sample,-5.82,8.31,-0.7,0.04,-1.17,670.0,,746.0,-0.05,0.94,0.81,-0.91,0.88,0.71,113.29
5assets_sig_mcd_nls,-5.77,8.51,-0.68,0.04,-1.17,670.0,,746.0,-0.05,0.94,0.81,-0.88,0.88,0.71,118.2
5assets_sig_mcd_ls,-5.78,8.41,-0.69,0.04,-1.17,670.0,,746.0,-0.05,0.93,0.81,-0.89,0.96,0.77,115.32
5assets_sig_mcd_id,-6.41,11.53,-0.56,0.05,-1.22,634.0,,746.0,-0.05,0.67,0.84,-0.71,0.94,0.79,78.76
5assets_sig_mean_rev_sample,5.06,14.94,0.34,0.07,-1.18,71.0,,746.0,0.04,0.48,1.09,0.53,0.94,1.03,14.33
5assets_sig_mean_rev_nls,5.46,14.8,0.37,0.07,-1.17,71.0,,746.0,0.05,0.5,1.1,0.58,1.02,1.12,14.1
5assets_sig_mean_rev_ls,4.61,14.32,0.32,0.07,-1.16,71.0,,746.0,0.04,0.51,1.08,0.5,1.02,1.1,15.68
5assets_sig_mean_rev_id,6.25,18.29,0.34,0.08,-1.09,7.0,,746.0,0.06,0.28,1.09,0.52,1.02,1.11,16.7
5assets_sig_rev_sample,2.61,11.38,0.23,0.05,-1.02,8.0,,746.0,0.03,0.37,1.06,0.34,1.06,1.12,10.48
5assets_sig_rev_nls,2.36,11.38,0.21,0.05,-1.02,8.0,,746.0,0.02,0.39,1.05,0.31,1.07,1.12,10.59
5assets_sig_rev_ls,1.76,11.39,0.15,0.05,-1.03,8.0,,746.0,0.02,0.44,1.04,0.23,1.16,1.2,11.64
5assets_sig_rev_id,-0.29,13.56,-0.02,0.06,-1.19,446.0,,746.0,-0.0,0.06,0.99,-0.03,1.15,1.15,12.47
5assets_sig_pfrevers_sample,-3.54,6.7,-0.53,0.03,-1.14,715.0,,746.0,-0.03,0.78,0.89,-0.71,0.87,0.77,10.33
5assets_sig_pfrevers_nls,-3.76,6.67,-0.56,0.03,-1.14,715.0,,746.0,-0.03,0.8,0.88,-0.75,0.88,0.78,10.3
5assets_sig_pfrevers_ls,-3.73,6.64,-0.56,0.03,-1.14,717.0,,746.0,-0.03,0.81,0.88,-0.74,0.87,0.77,9.88
5assets_sig_pfrevers_id,0.53,9.47,0.06,0.04,-1.09,303.0,,746.0,0.0,0.44,1.01,0.08,0.99,1.01,13.75
5assets_sig_prs_sample,-3.72,6.51,-0.57,0.03,-1.12,705.0,,746.0,-0.03,0.78,0.9,-0.79,0.9,0.81,5.37
5assets_sig_prs_nls,-3.74,6.45,-0.58,0.03,-1.12,705.0,,746.0,-0.03,0.79,0.9,-0.8,0.92,0.83,5.08
5assets_sig_prs_ls,-3.54,6.3,-0.56,0.03,-1.11,705.0,,746.0,-0.03,0.76,0.9,-0.78,0.94,0.85,4.92
5assets_sig_prs_id,-3.68,8.19,-0.45,0.04,-1.21,397.0,,746.0,-0.03,0.05,0.91,-0.6,0.98,0.89,10.96
10assets_sig_mtm_sample,0.01,6.38,0.0,0.03,-1.12,492.0,,746.0,0.0,0.0,1.0,0.0,0.98,0.98,6.31
10assets_sig_mtm_nls,0.45,6.25,0.07,0.03,-1.12,491.0,,746.0,0.0,0.02,1.01,0.1,0.96,0.98,5.99
10assets_sig_mtm_ls,15.01,21.62,0.69,0.1,-1.08,136.0,,746.0,0.14,0.62,1.14,1.02,0.98,1.11,7.46
10assets_sig_mtm_id,28.05,27.15,1.03,0.13,-1.09,136.0,,746.0,0.26,0.83,1.21,1.58,1.12,1.36,3.24
10assets_sig_mcd_sample,-3.08,4.11,-0.75,0.02,-1.12,657.0,,746.0,-0.03,0.78,0.86,-0.97,0.9,0.77,20.31
10assets_sig_mcd_nls,-3.45,4.12,-0.84,0.02,-1.13,657.0,,746.0,-0.03,0.79,0.84,-1.07,0.88,0.74,22.46
10assets_sig_mcd_ls,-3.48,4.12,-0.84,0.02,-1.13,657.0,,746.0,-0.03,0.78,0.84,-1.08,0.87,0.73,22.77
10assets_sig_mcd_id,-5.82,7.9,-0.74,0.04,-1.22,416.0,,746.0,-0.05,0.73,0.84,-0.94,1.11,0.93,42.97
10assets_sig_mean_rev_sample,4.66,7.97,0.58,0.04,-1.15,112.0,,746.0,0.04,0.7,1.15,0.93,1.06,1.22,27.73
10assets_sig_mean_rev_nls,4.39,7.77,0.57,0.04,-1.15,112.0,,746.0,0.04,0.69,1.15,0.9,1.09,1.25,26.91
10assets_sig_mean_rev_ls,4.29,7.56,0.57,0.04,-1.15,112.0,,746.0,0.04,0.7,1.15,0.89,1.04,1.2,24.52
10assets_sig_mean_rev_id,4.73,12.64,0.37,0.06,-1.07,43.0,,746.0,0.04,0.37,1.09,0.56,1.21,1.31,8.85
10assets_sig_rev_sample,-0.36,5.99,-0.06,0.03,-1.09,283.0,,746.0,-0.0,0.1,0.99,-0.08,0.97,0.95,15.08
10assets_sig_rev_nls,0.13,5.96,0.02,0.03,-1.08,283.0,,746.0,0.0,0.17,1.0,0.03,0.98,0.99,14.03
10assets_sig_rev_ls,0.11,5.86,0.02,0.03,-1.07,283.0,,746.0,0.0,0.21,1.0,0.03,1.05,1.05,14.32
10assets_sig_rev_id,-6.91,13.39,-0.52,0.06,-1.22,729.0,,746.0,-0.06,0.3,0.89,-0.69,0.94,0.83,11.22
10assets_sig_pfrevers_sample,2.75,3.84,0.72,0.02,-1.01,48.0,,746.0,0.03,0.34,1.16,1.13,1.15,1.34,6.72
10assets_sig_pfrevers_nls,2.43,3.78,0.64,0.02,-1.01,48.0,,746.0,0.02,0.3,1.14,1.0,1.19,1.37,6.56
10assets_sig_pfrevers_ls,2.58,3.78,0.68,0.02,-1.01,48.0,,746.0,0.03,0.32,1.15,1.07,1.28,1.47,6.71
10assets_sig_pfrevers_id,1.65,7.53,0.22,0.03,-1.07,303.0,,746.0,0.02,0.02,1.05,0.31,0.98,1.03,14.58
10assets_sig_prs_sample,-0.91,3.17,-0.29,0.01,-1.04,10.0,,746.0,-0.01,0.05,0.94,-0.39,1.0,0.94,8.38
10assets_sig_prs_nls,-1.04,3.1,-0.33,0.01,-1.04,10.0,,746.0,-0.01,0.17,0.93,-0.45,0.99,0.92,8.48
10assets_sig_prs_ls,-1.09,2.97,-0.37,0.01,-1.04,10.0,,746.0,-0.01,0.12,0.92,-0.49,1.01,0.93,7.88
10assets_sig_prs_id,-5.38,5.33,-1.01,0.02,-1.21,398.0,,746.0,-0.04,0.04,0.78,-1.17,0.95,0.74,66.1
30assets_sig_mtm_sample,1.55,3.78,0.41,0.02,-1.04,523.0,,746.0,0.01,0.17,1.09,0.63,1.03,1.12,6.25
30assets_sig_mtm_nls,1.03,3.39,0.3,0.02,-1.03,420.0,,746.0,0.01,0.29,1.06,0.45,1.06,1.12,6.53
30assets_sig_mtm_ls,17.19,23.94,0.72,0.11,-1.06,44.0,,746.0,0.16,0.54,1.15,1.04,1.14,1.31,4.39
30assets_sig_mtm_id,35.8,38.58,0.93,0.18,-1.23,136.0,712.0,712.0,0.29,0.95,1.2,1.4,0.99,1.18,7.04
30assets_sig_mcd_sample,0.5,1.74,0.29,0.01,-1.01,137.0,,746.0,0.0,0.31,1.06,0.39,1.09,1.16,16.63
30assets_sig_mcd_nls,0.15,1.69,0.09,0.01,-1.01,149.0,,746.0,0.0,0.03,1.02,0.12,1.03,1.05,16.56
30assets_sig_mcd_ls,0.15,1.65,0.09,0.01,-1.02,149.0,,746.0,0.0,0.07,1.02,0.12,1.02,1.03,18.01
30assets_sig_mcd_id,-3.71,5.42,-0.68,0.03,-1.14,619.0,,746.0,-0.03,0.87,0.82,-0.83,1.01,0.83,104.34
30assets_sig_mean_rev_sample,1.97,2.91,0.68,0.01,-1.04,205.0,,746.0,0.02,0.66,1.14,0.95,1.01,1.15,6.8
30assets_sig_mean_rev_nls,1.44,2.75,0.52,0.01,-1.05,205.0,,746.0,0.01,0.49,1.1,0.73,1.02,1.13,5.15
30assets_sig_mean_rev_ls,-0.83,2.89,-0.29,0.01,-1.09,251.0,,746.0,-0.01,0.0,0.95,-0.38,0.99,0.94,6.25
30assets_sig_mean_rev_id,-1.12,8.08,-0.14,0.04,-1.07,226.0,,746.0,-0.01,0.15,0.97,-0.19,1.0,0.97,7.24
30assets_sig_rev_sample,-1.05,3.53,-0.3,0.02,-1.05,413.0,,746.0,-0.01,0.42,0.94,-0.43,0.9,0.84,9.64
30assets_sig_rev_nls,-0.6,3.41,-0.18,0.02,-1.04,413.0,,746.0,-0.01,0.3,0.96,-0.26,0.92,0.88,10.16
30assets_sig_rev_ls,0.14,3.34,0.04,0.02,-1.02,412.0,,746.0,0.0,0.01,1.01,0.07,1.0,1.01,13.27
30assets_sig_rev_id,1.73,10.11,0.17,0.05,-1.07,43.0,,746.0,0.02,0.01,1.04,0.25,1.02,1.07,17.13
30assets_sig_pfrevers_sample,1.69,1.97,0.86,0.01,-1.0,46.0,,746.0,0.02,0.65,1.2,1.29,1.17,1.41,11.27
30assets_sig_pfrevers_nls,2.32,1.87,1.24,0.01,-1.0,46.0,,746.0,0.02,0.83,1.3,1.93,1.15,1.49,7.61
30assets_sig_pfrevers_ls,2.58,1.86,1.39,0.01,-1.0,1.0,,746.0,0.03,0.84,1.33,2.21,1.16,1.55,6.18
30assets_sig_pfrevers_id,1.89,4.17,0.45,0.02,-1.02,277.0,,746.0,0.02,0.53,1.11,0.64,1.1,1.21,13.92
30assets_sig_prs_sample,0.05,1.58,0.03,0.01,-1.02,176.0,,746.0,0.0,0.56,1.01,0.05,0.93,0.93,8.87
30assets_sig_prs_nls,-0.03,1.5,-0.02,0.01,-1.03,176.0,,746.0,-0.0,0.55,1.0,-0.03,0.94,0.94,9.37
30assets_sig_prs_ls,-0.25,1.48,-0.17,0.01,-1.03,176.0,,746.0,-0.0,0.34,0.97,-0.25,0.93,0.9,8.19
30assets_sig_prs_id,0.32,3.33,0.09,0.02,-1.09,189.0,,746.0,0.0,0.35,1.02,0.13,1.02,1.04,6.71
50assets_sig_mtm_sample,0.55,3.19,0.17,0.01,-1.03,523.0,,746.0,0.01,0.28,1.03,0.25,1.04,1.07,4.01
50assets_sig_mtm_nls,-0.03,2.64,-0.01,0.01,-1.04,523.0,,746.0,-0.0,0.02,1.0,-0.02,1.09,1.09,5.35
50assets_sig_mtm_ls,21.2,28.59,0.74,0.13,-1.08,44.0,,746.0,0.2,0.67,1.15,1.06,1.17,1.35,3.86
50assets_sig_mtm_id,56.12,49.44,1.14,0.23,-1.28,136.0,445.0,445.0,0.44,0.95,1.24,1.74,1.16,1.43,3.54
50assets_sig_mcd_sample,0.24,1.53,0.16,0.01,-1.03,189.0,,746.0,0.0,0.14,1.03,0.21,1.12,1.15,11.13
50assets_sig_mcd_nls,-0.05,1.43,-0.04,0.01,-1.02,189.0,,746.0,-0.0,0.0,0.99,-0.05,0.97,0.96,22.6
50assets_sig_mcd_ls,0.04,1.47,0.03,0.01,-1.02,189.0,,746.0,0.0,0.03,1.01,0.04,1.07,1.08,18.95
50assets_sig_mcd_id,-5.22,6.17,-0.85,0.03,-1.17,625.0,,746.0,-0.04,0.91,0.75,-0.98,0.86,0.65,188.76
50assets_sig_mean_rev_sample,0.36,1.89,0.19,0.01,-1.03,132.0,,746.0,0.0,0.59,1.04,0.28,1.14,1.18,3.77
50assets_sig_mean_rev_nls,0.17,1.78,0.1,0.01,-1.03,251.0,,746.0,0.0,0.47,1.02,0.14,1.12,1.14,3.16
50assets_sig_mean_rev_ls,-0.56,1.88,-0.3,0.01,-1.04,331.0,,746.0,-0.01,0.01,0.95,-0.42,1.1,1.04,3.36
50assets_sig_mean_rev_id,-4.12,5.73,-0.72,0.03,-1.14,226.0,,746.0,-0.04,0.43,0.86,-0.96,0.97,0.84,8.56
50assets_sig_rev_sample,-1.54,3.56,-0.43,0.02,-1.06,572.0,,746.0,-0.01,0.71,0.9,-0.65,0.91,0.82,35.04
50assets_sig_rev_nls,-1.14,3.36,-0.34,0.02,-1.06,572.0,,746.0,-0.01,0.61,0.92,-0.54,0.99,0.91,52.7
50assets_sig_rev_ls,-0.87,3.28,-0.27,0.02,-1.05,572.0,,746.0,-0.01,0.39,0.94,-0.43,0.9,0.84,68.4
50assets_sig_rev_id,2.39,12.83,0.19,0.06,-1.08,43.0,,746.0,0.02,0.04,1.04,0.26,1.13,1.18,18.53
50assets_sig_pfrevers_sample,0.19,1.27,0.15,0.01,-1.01,366.0,,746.0,0.0,0.0,1.03,0.21,0.98,1.01,5.26
50assets_sig_pfrevers_nls,0.48,1.12,0.43,0.01,-1.0,65.0,,746.0,0.0,0.35,1.09,0.6,0.95,1.03,4.39
50assets_sig_pfrevers_ls,0.46,1.14,0.4,0.01,-1.0,65.0,,746.0,0.0,0.24,1.08,0.57,1.02,1.11,4.24
50assets_sig_pfrevers_id,-0.07,3.13,-0.02,0.01,-1.04,244.0,,746.0,-0.0,0.18,0.99,-0.03,0.91,0.9,12.65
50assets_sig_prs_sample,-0.85,1.16,-0.73,0.01,-1.03,502.0,,746.0,-0.01,0.67,0.86,-0.96,0.89,0.76,8.69
50assets_sig_prs_nls,-0.78,1.02,-0.76,0.0,-1.02,502.0,,746.0,-0.01,0.73,0.85,-1.0,0.84,0.72,8.08
50assets_sig_prs_ls,-0.63,1.05,-0.6,0.0,-1.02,502.0,,746.0,-0.01,0.42,0.88,-0.79,0.85,0.75,7.62
50assets_sig_prs_id,-0.44,2.66,-0.17,0.01,-1.07,265.0,,746.0,-0.0,0.28,0.96,-0.22,0.95,0.92,11.51
